image_path,true_class,class_name
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_1.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_10.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_100.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_101.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_102.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_103.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_104.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_105.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_106.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_107.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_108.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_109.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_11.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_110.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_111.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_112.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_113.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_114.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_115.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_116.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_117.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_118.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_119.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_12.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_120.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_121.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_122.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_123.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_124.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_125.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_126.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_127.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_128.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_129.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_13.jpg,Abyssinian,cat
F:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_130.jpg,Abyssinian,cat
