image_path,class_name,confidence,x_center,y_center,width,height
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_1.jpg,cat,0.8828934,276.52002,201.55452,351.13757,253.76468
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_10.jpg,cat,0.55817175,143.27766,243.88133,278.6984,285.29672
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_10.jpg,dog,0.46445325,144.30797,245.42001,277.7977,279.6386
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_100.jpg,cat,0.63335085,186.78436,266.4225,296.48004,396.85675
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_101.jpg,cat,0.8236417,188.60197,133.44405,272.08298,197.83192
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_102.jpg,cat,0.6779297,252.507,251.42448,470.22897,422.0059
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_103.jpg,cat,0.66623086,267.15912,186.84686,244.06436,211.0058
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_104.jpg,cat,0.41744468,269.59717,180.58713,502.95236,240.61176
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_105.jpg,cat,0.8643804,312.66833,233.63446,148.56764,274.7151
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_106.jpg,cat,0.45122045,732.29803,496.27856,1303.1876,706.06226
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_107.jpg,cat,0.46437395,287.29437,225.91504,385.69995,382.63647
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_108.jpg,cat,0.7850825,222.90608,203.201,337.1207,383.73538
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_109.jpg,dog,0.34642676,137.99426,223.984,211.08305,423.68936
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_11.jpg,cat,0.892898,106.92917,139.99213,122.9934,161.46227
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_110.jpg,cat,0.4430678,202.29105,160.01857,385.0307,297.55942
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_111.jpg,cat,0.4563008,243.46211,203.67203,385.25443,246.23627
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_112.jpg,cat,0.7670373,244.1185,262.7329,391.17975,465.93433
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_113.jpg,cat,0.90471476,296.651,250.61859,215.33412,330.0699
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_114.jpg,cat,0.84011734,302.7759,237.77449,170.9875,352.26907
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_115.jpg,cat,0.60985136,237.24203,174.74165,462.78247,240.92856
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_116.jpg,cat,0.8653554,124.55753,270.21603,227.53294,438.2088
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_117.jpg,cat,0.6339432,271.49182,204.93777,400.66513,357.3645
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_119.jpg,cat,0.72276056,122.35873,170.95947,179.41457,240.05981
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_12.jpg,cat,0.82213426,157.95088,265.45258,134.70602,363.38214
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_120.jpg,cat,0.8871295,131.27287,229.48062,148.96011,271.38782
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_121.jpg,cat,0.6051793,125.90242,129.69489,169.01508,188.90945
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_122.jpg,cat,0.5215714,185.01831,136.95262,193.61389,250.37558
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_123.jpg,cat,0.8362838,319.89685,171.10051,334.3757,183.65445
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_124.jpg,cat,0.86243176,210.81955,281.23627,232.31372,376.2195
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_125.jpg,cat,0.7351323,332.22678,178.21617,235.83061,313.8293
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_126.jpg,cat,0.75095165,200.16266,243.36087,222.61543,304.62323
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_127.jpg,cat,0.7807118,107.90148,278.4289,190.1949,110.20578
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_128.jpg,cat,0.74264705,245.74261,183.40022,369.5979,317.0695
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_129.jpg,cat,0.89610875,125.96822,207.09201,247.0335,228.51192
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_13.jpg,cat,0.788245,129.66522,143.45486,185.98064,237.80785
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_130.jpg,cat,0.41442052,167.51947,295.31244,227.83984,382.08557
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_131.jpg,cat,0.66768533,158.06085,165.50914,302.6159,278.29245
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_132.jpg,cat,0.89766604,220.38724,191.5228,132.85274,171.30998
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_133.jpg,cat,0.5423619,352.33698,268.41336,621.23596,304.15497
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_134.jpg,cat,0.8467153,257.13116,224.0857,353.32867,416.86902
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_135.jpg,cat,0.8039249,132.9875,282.43268,245.03503,418.63345
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_136.jpg,cat,0.7818208,195.40402,267.34576,208.2133,431.33652
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_137.jpg,cat,0.8878485,753.5547,527.83484,748.551,831.1847
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_138.jpg,cat,0.8003908,208.97157,162.74858,403.5875,204.9334
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_139.jpg,cat,0.8941829,263.4222,153.6315,292.65515,188.1296
f:\suryesh project\vision_pipeline\images\processed\processed_Abyssinian_14.jpg,cat,0.7169579,138.34187,228.38222,260.3019,287.5596
